"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","3","576-4396-1-ND","MIC4604YM-TR","IC GATE DRVR HALF-BRIDGE 8SOIC","","0","1.09000","$3.27"
"2","3","RHM.005AMCT-ND","PMR18EZPJU5L0","RES 0.005 OHM 5% 1W 1206","","0","0.91000","$2.73"
"3","20","RHM2.2KCT-ND","ESR10EZPJ2R2","RES SMD 2.2 OHM 5% 0.4W 0805","","0","0.13000","$2.60"
"4","2","493-1981-ND","UPW2A221MHD","CAP ALUM 220UF 20% 100V RADIAL","","0","1.46000","$2.92"
"5","2","277-1667-ND","1935161","TERM BLK 2POS SIDE ENTRY 5MM PCB","","0","0.57000","$1.14"
"6","1","277-1578-ND","1935174","TERM BLK 3POS SIDE ENTRY 5MM PCB","","0","0.81000","$0.81"
"7","5","HDR100IMP40F-G-RA-TH-ND","HDR100IMP40F-G-RA-TH","CONN HDR 40POS 0.1 GOLD PCB R/A","","0","1.25000","$6.25"
"8","6","1727-4715-1-ND","BUK9620-100B,118","MOSFET N-CH 100V 63A D2PAK","","0","2.39000","$14.34"
"9","5","475-3021-ND","SFH 309-4/5","SENSOR PHOTO 860NM TOP VIEW RAD","","0","0.90000","$4.50"
"10","1","473-1038-ND","416-T","FILM TRANSPARENCY 8.5X11"" 5 SHTS","","0","14.85000","$14.85"
"11","6","399-8219-1-ND","C1210C105K1RACTU","CAP CER 1UF 100V X7R 1210","","0","1.19000","$7.14"
"","","","","","","","Subtotal","$60.55"